report,gold_id,p_quote_supports_name,flag,pottery,typology,quote
new_rep_1,1,0.990,,Beaker,,een stuk van een geverfde beker bestrooid met kleikorreltjes. Deze beker heeft een wit baksel met een zwarte verflaag… H
new_rep_1,2,0.990,,Gallic wine amphora,Gauloise 4,Een tweede herkenbaar fragment is afkomstig van een wijnamfoor Gauloise 4.
new_rep_1,3,0.960,,Red coarse ware,,Twee rode ruwwandige fragmenten… kunnen niet nader geduid worden
new_rep_1,4,0.950,,White smooth-walled ware,,en een sterk verweerd wit gladwandig fragment kunnen niet nader geduid worden.
new_rep_1,5,0.990,,Dolium,,In de sporen S5 en S6 die vlak bij elkaar liggen zijn respectievelijk een rand van een groot bolrond voorraadvat (dolium
new_rep_1,6,0.970,,Olive oil amphora,,In de sporen S5 en S6 die vlak bij elkaar liggen zijn respectievelijk een rand van een groot bolrond voorraadvat (dolium
new_rep_1,7,0.980,,Baetican olive oil amphora,Dressel 20,een oor van een olijfolieamfoor Dressel 20
new_rep_1,8,0.970,,Mortarium,Brunsting 37,en de rand van een wrijfschaal met verticale rand die vanaf 160 is te dateren
new_rep_1,9,0.980,,Dolium,,"een wandfragment van een dolium versierd met gladde ribbels, 
"
new_rep_1,10,0.970,,Mortarium,,"een rand van een wrijfschaal met horizontale rand uit de 2e eeuw of later 
"
new_rep_1,11,0.900,,Pottery,,en een verploegd en niet herkenbaar fragment aardewerk.
new_rep_2,1,0.910,,Terra sigillata decorated bowl,Dragendorff 29,"--/89-0-0/8128, Drag. 29"
new_rep_2,2,0.920,,Terra sigillata decorated bowl,Dragendorff 29,"304-1/20-5-8, Drag. 29"
new_rep_2,3,0.870,,Terra sigillata decorated bowl,Dragendorff 29,"399-2/1953-2.8, Drag. 29"
new_rep_2,4,0.850,,Terra sigillata decorated bowl,Dragendorff 37,"--/95-1-19/10813, Drag"
new_rep_2,5,0.810,,Terra sigillata decorated bowl,Dragendorff 37,"“--/1895-12.43/13072, Drag"
new_rep_2,6,0.860,,Terra sigillata decorated bowl,Dragendorff 37,"--/13-3-15/1588, Drag. 37"
new_rep_2,7,0.760,,Terra sigillata decorated bowl,Dragendorff 37,"--/13-3-9/1571, Drag. 37"
new_rep_2,8,0.760,,Terra sigillata decorated bowl,Dragendorff 37,"--/95-1-18/10762, Drag"
new_rep_2,9,0.800,,Terra sigillata decorated bowl,Dragendorff 37,"--/0-0-0/12972, Drag. 37"
new_rep_2,10,0.800,,Terra sigillata decorated bowl,Dragendorff 37,"--/27-4-7/5351, Drag. 37"
new_rep_2,11,0.740,,Terra sigillata decorated bowl,Dragendorff 37,"302-6/100-1-6, Drag. 37"
new_rep_2,12,0.800,,Terra sigillata decorated bowl,Dragendorff 37,"--/95-1-18+95-1-60, Drag. 37"
new_rep_2,13,0.690,,Terra sigillata decorated bowl,Dragendorff 37,"--/27-2-24, Drag. 37"
new_rep_2,14,0.770,,Terra sigillata decorated bowl,Dragendorff 37,"--/68-2-6/6276, Drag. 37"
new_rep_2,15,0.790,,Terra sigillata decorated beaker,Dragendorff 30,"--/96-2-1/8224, Drag. 30"
new_rep_2,16,0.620,,Terra sigillata decorated bowl,Dragendorff 37,"--/1953-2.5/11413, Drag. 37"
new_rep_2,17,0.790,,Terra sigillata decorated bowl,Dragendorff 37,"413-2/94-4-3/10549, Drag. 37"
new_rep_2,18,0.760,,Terra sigillata decorated bowl,Dragendorff 37,"744-10/100-2-3/8440, Drag. 37"
new_rep_2,19,0.430,FLAG,Terra sigillata decorated bowl,Dragendorff 37,"--/16-2-34/2381, Drag. 37"
new_rep_2,20,0.680,,Terra sigillata decorated bowl,Dragendorff 37,"--/1895-12.42/14465, Drag. 37"
new_rep_2,21,0.830,,Terra sigillata decorated bowl,Dragendorff 37,"744-9/100-1-10, Drag. 37"
new_rep_2,22,0.550,,Terra sigillata decorated bowl,Dragendorff 37,"--/0-0-0/10406, Drag. 37"
new_rep_2,23,0.550,,Terra sigillata decorated bowl,Dragendorff 37,"--/15-0-0/2098, Drag. 37"
new_rep_2,24,0.740,,Terra sigillata decorated bowl,Dragendorff 37,"334-2/107-3-62 + 737-11/68-4-25, Drag. 37"
new_rep_2,25,0.650,,Terra sigillata decorated bowl,Dragendorff 37,"757-17/104-3-5, Drag. 37"
new_rep_2,26,0.250,FLAG,Terra sigillata decorated bowl,Dragendorff 37,"--/16-0-0/2706 + 16-3-5/2395, Drag. 37 "
new_rep_2,27,0.530,,Terra sigillata decorated bowl,Dragendorff 37,"--/18-1-2/2773, Drag. 37"
new_rep_2,28,0.830,,Terra sigillata decorated bowl,Dragendorff 37,"413-6/94-4-1/10531, Drag. 37"
new_rep_2,29,0.160,FLAG,Terra sigillata decorated bowl,Dragendorff 37,--/1895-12.46/13074
new_rep_2,30,0.650,,Terra sigillata decorated bowl,Dragendorff 37,"319-8/110-2-1, Drag. 37"
new_rep_2,31,0.620,,Terra sigillata decorated bowl,Dragendorff 37,"--/1895-12.45/13069, Drag. 37"
new_rep_2,32,0.740,,Terra sigillata decorated bowl,Dragendorff 37,"--/16-3-7/2427+2428, Drag. 37"
new_rep_2,33,0.730,,Terra sigillata decorated bowl,Dragendorff 37,"--/27-3-17/5260, Drag. 37"
new_rep_2,34,0.810,,Terra sigillata decorated bowl,Dragendorff 37,"--/94-3-5/10503, Drag 37"
new_rep_2,35,0.620,,Terra sigillata decorated bowl,Dragendorff 37,"--/1895-12.44/13070, Drag 37"
new_rep_2,36,0.750,,Terra sigillata,Dragendorff 27g,"702-19/7-0-11, Drag. 27g "
new_rep_2,37,0.730,,Terra sigillata dish,,"--/96-2-1/8220, dish"
new_rep_2,38,0.780,,Terra sigillata plate,Dragendorff 18,"--/1953-2.5/13052, Drag. 18"
new_rep_2,39,0.800,,Terra sigillata cup,,"--/1932-11.3/13041, cup"
new_rep_2,40,0.570,,Terra sigillata cup,Dragendorff 27,"--/21-3-5/3776, Drag. 27"
new_rep_2,41,0.750,,Terra sigillata plate,Dragendorff 18r,"--/1932-11.3/13043, Drag. 18R? "
new_rep_2,42,0.850,,Terra sigillata,Dragendorff 27g,"--/7-1-25/197, Drag. 27g "
new_rep_2,43,0.700,,Terra sigillata plate,Dragendorff 18/31,"--/96-2-1/11698, Drag. 18/31"
new_rep_2,44,0.440,FLAG,Terra sigillata plate,Dragendorff 18/31,"730-2/27-5-1, Drag. 18/31"
new_rep_2,45,0.750,,Terra sigillata plate,Dragendorff 18/31,"--/95-1-19/10815, dish (probably Drag. 18/31)"
new_rep_2,46,0.910,,Terra sigillata cup,Dragendorff 27,"--/95-2-9/10948, cup, probably Drag. 27"
new_rep_2,47,0.720,,Terra sigillata plate,Dragendorff 18/31,"319-13/110-2-1, Drag. 18/31 or Drag. 31 "
new_rep_2,48,0.780,,Terra sigillata plate,Dragendorff 18/31,"--/0-0-0/10402, Drag. 18/31 or Drag. 31"
new_rep_2,49,0.780,,Terra sigillata plate,Dragendorff 18/31,"--/1932-11.3/13042, Drag. 18/31 or Drag. 31"
new_rep_2,50,0.810,,Terra sigillata plate,Dragendorff 31,"317-16/13-3-38, Drag. 31"
new_rep_2,51,0.720,,Terra sigillata plate,Dragendorff 18/31,"812-2/27-3-7/5184, Drag. 18/31"
new_rep_2,54,0.700,,Terra sigillata plate,Dragendorff 18/31,"69-2-8/7253, Drag. 18/31 "
new_rep_2,55,0.550,,Terra sigillata plate,Dragendorff 18,"27-2-27/5067, Drag. 18"
new_rep_2,56,0.820,,Terra sigillata plate,Dragendorff 31,"742-3/95-5-8/11211, Drag. 31 "
new_rep_2,57,0.740,,Terra sigillata plate,Dragendorff 32,"1932-11.3/13064, Drag. 32 "
new_rep_3,1,0.990,,Terra sigillata,,"Among the pottery, terra sigillata dates from the 2nd century"
new_rep_3,2,0.980,,Painted cup,,painted cups from the 2nd and 3rd centuries
new_rep_3,3,0.980,,Amphorae,,amphorae (of which one comes from Campania)
new_rep_3,4,0.980,,Dolia,,"Other pottery derives from dolia, mortaria and jugs"
new_rep_3,5,0.980,,mortaria,,"Other pottery derives from dolia, mortaria and jugs"
new_rep_3,6,0.980,,jugs,,"Other pottery derives from dolia, mortaria and jugs"
new_rep_4,5,0.980,,Argonnian terra sigillata bowl,Chenet 320,"Two fragments are Argonne Ware decorated with roller-stamps, these bowls of type Chenet 320 date to A.D.320-410."
new_rep_4,3,0.970,,Terra sigillata plate,Dragendorff 18/31,plates Drag.18/31
new_rep_4,2,0.960,,Terra sigillata cup,Dragendorff 33,"The terra sigillata comprises cups bowls Drag.37,Drag.33,"
new_rep_4,1,0.950,,Terra sigillata decorated bowl,Dragendorff 37,"The terra sigillata comprises cups bowls Drag. 37,"
new_rep_4,4,0.960,,Terra sigillata mortarium,Dragendorff 45,band mortaria Drag. 45
new_rep_5,1,0.880,,Pottery,,7 aardewerk Romeinse tijd 1 bodemfragment
new_rep_5,2,0.870,,Pottery,,12 aardewerk Romeinse tijd t/m Volle Middeleeuwen
new_rep_5,3,0.860,,Pottery,,20 aardewerk Romeinse tijd t/m Volle Middeleeuwen
new_rep_5,4,0.820,,Pottery,,21 aardewerk Romeinse tijd
new_rep_5,5,0.870,,Pottery,,24 aardewerk Romeinse tijd 
new_rep_5,6,0.870,,Pottery,,25 aardewerk Romeinse tijd
new_rep_5,7,0.870,,Pottery,,26 aardewerk Romeinse tijd t/m Volle Middeleeuwen
new_rep_5,8,0.200,FLAG,Painted ware,,29 aardewerk Romeinse tijd
ocr_1,1,0.940,,Arretine ware plate,Conspectus 11, Pendant made of a rim fragment probably of a plate of form Consp. 11 (Haltern 1b/Service Ia)
ocr_2,1,0.180,FLAG,22-3-6/4056,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. "
ocr_2,4,0.130,FLAG,513-2/20-1-67,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. "
ocr_2,6,0.140,FLAG,514-3/20-3-63,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. "
ocr_2,2,0.140,FLAG,711-1/13-1-27,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. "
ocr_2,8,0.140,FLAG,757-10/109-2-5,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. "
ocr_2,3,0.140,FLAG,768-1/15-2-19,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. "
ocr_2,7,0.150,FLAG,768-2/15-2-19,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. "
ocr_2,5,0.160,FLAG,791-1/95-2-22,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont. "
ocr_3,1,0.950,,Roman ware,,"fragmenten gevonden van Romeinse!) aardewerk, waarschynlyk uit de 2c eeuw na Christus."
ocr_4,1,0.990,,Terra sigillata plate,Dragendorff 18/31,"Een terra-sigillata schaaltje in fragment type Drag 18/ 31, met de
pottenbakkersstempel: COSI. RVTIN."
ocr_4,2,0.890,,Terra sigillata,,Een terra-sigillata bodemfragment waarop aan de buitenzijde ingekrast:
ocr_4,3,0.980,,Terra sigillata plate,Dragendorff 32,Een terra-sigillata schaal in fragment type Drag 32.
ocr_4,4,0.930,,Terra sigillata mortarium,Dragendorff 45,Een terra-sigillata kom in fragment type Drag 45.
ocr_4,5,0.980,,Terra sigillata decorated bowl,Dragendorff 29,"Drie versierde terra-sigillata fragmenten Drag 29 en 37, met eierlijst, planten en dieren"
ocr_4,6,0.980,,Terra sigillata decorated bowl,Dragendorff 37,"Drie versierde terra-sigillata fragmenten Drag 29 en 37, met eierlijst, planten en dieren"
ocr_4,7,0.980,,Beaker,,"Een geverniste beker met schubbenversiering in fragment met een
diameter van 15 cm."
ocr_4,8,0.950,,Terra sigillata,,Verder nog een dertigtal aardewerkfragmenten waaronder terrasigillata en inheems aardewerk.
ocr_4,9,0.880,,Native ware,,Verder nog een dertigtal aardewerkfragmenten waaronder terrasigillata en inheems aardewerk.
ocr_5,1,0.980,,Beaker,,"Deze vroeg-Romeinse drinkbeker van aardewerk is in Coriovallum gevonden, maar gemaakt in het Franse Lyon."
ocr_5,2,0.980,,Beaker,,Bijzonder is de vroege datering van dit type bekers: ze werden voornamelijk tijdens het bewind van keizer Augustus gemaa
old_rep_1,1,0.120,FLAG,Roman ware,,"Ze waren verspreid over eene groote uitgestrektheid en v/ijzen er op, dat'daar ter plaatse in de eerste
eeuwen onzer jaa"
old_rep_1,2,0.080,FLAG,Terra sigillata,,"Ze waren verspreid over eene groote uitgestrektheid en v/ijzen er op, dat'daar ter plaatse in de eerste
eeuwen onzer jaa"
old_rep_2,1,0.040,FLAG,Terra sigillata,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.
old_rep_2,2,0.040,FLAG,Belgic ware,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.
old_rep_2,3,0.030,FLAG,Colour-coated ware,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.
old_rep_2,4,0.030,FLAG,Smooth-walled ware,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.
old_rep_2,5,0.040,FLAG,Coarse ware,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.
old_rep_2,6,0.610,,Terra sigillata,,"De oudste vondst was toen een scherf met het stempel van de Italiaanse pottenbakker „Cnaeus Ateius"", die tot uiterlijk 2"
old_rep_2,7,0.470,FLAG,Pottery,,Verder waren er scherven uit het midden van dezelfde eerste eeuw na Christus.
old_rep_3,1,0.980,,Terra sigillata ,,"Het dateert uit het midden van de 4e eeuw en leverde, behalve botresten en een kom van met radstempels versierde terra s"
old_rep_3,2,0.980,,Handmade pottery,,een kom van handgemaakt aardewerk waarvoor rechtstreekse parallellen alleen in noord-Nederland te vinden zijn. Zij zijn 
old_rep_3,3,0.990,,Terra sigillata ,,"aardewerk, de terra sigillata met radstempelversiering. Daarbij zijn er maar twee die in de vroege 4e eeuw gemaakt zijn"
old_rep_3,4,0.700,,Terra sigillata ,Hübener Group 3,"de rest is dateerbaar vanaf het midden van de 4e eeuw (Hubener 1968, groepen 3-6). "
old_rep_3,5,0.710,,Pottery,,scherven uit de IJzertijd
old_rep_4,1,0.930,,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18
old_rep_4,2,0.960,,Terra sigillata cup,Dragendorff 33,Dragendorff 33
old_rep_4,3,0.910,,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37
old_rep_4,4,0.940,,Colour-coated ware with barbotine decoration,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,5,0.890,,Colour-coated ware without barbotine decoration,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,6,0.980,,Terra nigra,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,7,0.980,,Terra rubra,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,8,0.940,,Smooth-walled ware,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,9,0.770,,Coarse ware,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,10,0.930,,Mortarium with pouring spout,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,11,0.900,,Mortarium without pouring spout,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,12,0.930,,Lid,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm"
old_rep_4,13,0.840,,Coarse ware,,ruwwandige
old_rep_4,14,0.970,,Terra sigillata,,terra sigillatascherven verspreid
old_rep_5,1,0.070,FLAG,Dish,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,"
old_rep_5,2,0.380,FLAG,Bowl,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,"
old_rep_5,3,0.480,FLAG,Beaker,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,"
old_rep_5,4,0.320,FLAG,Jug,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,"
old_rep_5,5,0.960,,Urn,,"kommetjes, bekertjes, kruikjes, urntjes en andere voorwerpen voor den dag"
table_1,1,0.990,,amphora,Mayen R19,amphora
table_1,2,0.930,,Late Roman bowl,Alzey 28,bowl
table_1,3,0.340,FLAG,Late Roman storage vessel,Alzey 29,bowl
table_1,4,0.920,,Coarse ware bowl,Niederbieber 104,bowl
table_1,5,0.950,,Trier bowl,"Trier III, 40a",bowl
table_1,6,0.930,,Bowl,,bowl/jar
table_1,7,0.870,,Bowl/Jar,,dolium
table_1,8,0.760,,Bowl/Jar,,jar
table_1,9,0.230,FLAG,Late Roman cooking pot,Alzey 27,jar
table_1,10,0.060,FLAG,Dolium,,jug
table_1,11,0.170,FLAG,Late Roman storage jar,Alzey 30,jug
table_1,12,0.070,FLAG,Jar,,plate
table_1,13,0.070,FLAG,Late Roman lid,Alzey 34,plate
table_1,14,0.090,FLAG,Jar,,bowl
table_1,15,0.950,,Late Roman bowl,Alzey 28,bowl
table_1,16,0.800,,Jar,,bowl/jar
