report,gold_idx,out_idx,choice_p,any_p,choice_confidence,level,gold_pot,out_pot,gold_typ,out_typ,gold_quote,out_quote
old_rep_1,1,1,0.990,0.980,0.990,same,Terra sigillata,Terra sigillata,,,"Ze waren verspreid over eene groote uitgestrektheid en v/ijzen er op, dat'daar ter plaatse in de eerste
eeuwen onzer jaa","Eenige kenmerkende scherven, waaronder een drietal van terra sigillata, zijn overgedaan aan het Museum"
old_rep_1,0,0,0.950,0.800,0.920,same,Roman ware,Romani ware,,,"Ze waren verspreid over eene groote uitgestrektheid en v/ijzen er op, dat'daar ter plaatse in de eerste
eeuwen onzer jaa",talrijke overblijfselen van dakpannen met opstaande randen en van Romeinsch aardewerk gevonden
old_rep_2,1,1,1.000,0.970,1.000,same,Belgic ware,Belgic ware,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,3,3,1.000,0.970,0.990,same,Smooth-walled ware,Smooth-walled ware,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,0,0,0.990,0.970,0.990,same,Terra sigillata,Terra sigillata,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,4,4,0.980,0.940,0.970,same,Coarse ware,Coarse ware,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,2,2,0.940,0.860,0.930,same,Colour-coated ware,Colour-coated ware,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,5,5,0.860,0.730,0.830,same,Terra sigillata,Pottery,,,"De oudste vondst was toen een scherf met het stempel van de Italiaanse pottenbakker „Cnaeus Ateius"", die tot uiterlijk 2",De oudste vondst was toen een scherf met het stempel van de Italiaanse pottenbakker „Cnaeus Ateius
old_rep_2,6,,,0.510,0.590,missing,Pottery,,,,Verder waren er scherven uit het midden van dezelfde eerste eeuw na Christus.,
old_rep_3,0,0,1.000,0.980,0.560,same,Terra sigillata ,Terra sigillata,,,"Het dateert uit het midden van de 4e eeuw en leverde, behalve botresten en een kom van met radstempels versierde terra s",een kom van met radstempels versierde terra sigillata
old_rep_3,1,1,1.000,0.960,1.000,same,Handmade pottery,Handmade ware,,,een kom van handgemaakt aardewerk waarvoor rechtstreekse parallellen alleen in noord-Nederland te vinden zijn. Zij zijn ,een kom van handgemaakt aardewerk waarvoor rechtstreekse parallellen alleen in noord-Nederland te vinden zijn
old_rep_3,2,2,1.000,0.980,0.980,same,Terra sigillata ,Terra sigillata,,,"aardewerk, de terra sigillata met radstempelversiering. Daarbij zijn er maar twee die in de vroege 4e eeuw gemaakt zijn","bijna twintig fragmenten vrij goed dateerbaar aardewerk, de terra sigillata met radstempelversiering. Daarbij zijn er ma"
old_rep_3,4,3,1.000,0.970,1.000,same,Pottery,Pottery,,,scherven uit de IJzertijd,Ze bevatten namelijk scherven uit de IJzertijd
old_rep_3,3,,,0.960,0.980,missing,Terra sigillata ,,Hübener Group 3,,"de rest is dateerbaar vanaf het midden van de 4e eeuw (Hubener 1968, groepen 3-6).",
old_rep_4,0,0,1.000,0.970,1.000,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,Dragendorff 18,"terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aardewerk met en zonder barbotineversiering, terra ni"
old_rep_4,1,1,1.000,0.980,1.000,same,Terra sigillata cup,Terra sigillata cup,Dragendorff 33,Dragendorff 33,Dragendorff 33,"terra sigillata van de typen Dragendorff 18/ 31, 33, 37, gevernist aardewerk met en zonder barbotineversiering, terra ni"
