report,gold_idx,out_idx,choice_p,any_p,choice_confidence,level,gold_pot,out_pot,gold_typ,out_typ,gold_quote,out_quote
old_rep_1,0,,,0.150,0.460,missing,Roman ware,,,,"Ze waren verspreid over eene groote uitgestrektheid en v/ijzen er op, dat'daar ter plaatse in de eerste
eeuwen onzer jaa",
old_rep_1,1,,,0.200,0.610,missing,Terra sigillata,,,,"Ze waren verspreid over eene groote uitgestrektheid en v/ijzen er op, dat'daar ter plaatse in de eerste
eeuwen onzer jaa",
old_rep_1,,0,,,,overclaim,,Terra sigillata,,,,een drietal van terra sigillata
old_rep_1,,1,,,,overclaim,,Roman pottery,,,,Romeinsch aardewerk
old_rep_2,0,0,1.000,0.970,0.990,same,Terra sigillata,Terra sigillata,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,1,1,1.000,0.970,0.990,same,Belgic ware,Belgic ware,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,3,3,0.990,0.950,0.990,same,Smooth-walled ware,Smooth-walled pottery,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,4,4,0.990,0.910,0.980,same,Coarse ware,Coarse pottery,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
old_rep_2,5,5,0.970,0.910,0.960,same,Terra sigillata,Pottery with the stamp of Cnaeus Ateius,,,"De oudste vondst was toen een scherf met het stempel van de Italiaanse pottenbakker „Cnaeus Ateius"", die tot uiterlijk 2","De oudste vondst was toen een scherf met het stempel van de Italiaanse pottenbakker ""Cnaeus Ateius"", die tot uiterlijk 2"
old_rep_2,2,2,0.700,0.620,0.650,same,Colour-coated ware,Glossy pottery,,,Bij het graven van een wetering kwamen Romeinse vondsten aan het licht.,"AARDEWERK: terra sigillata, Belgisch aardewerk, gevernist aardewerk, gladwandig aardewerk en ruwwandig aardewerk."
